scientificName,japaneseName,order,family
Chiloscyllium punctatum,Inuzame,Orectolobiformes,Hemiscylliidae
Palutrus meteori,Himekumohaze,Gobiiformes,Gobiidae
Chiloscyllium plagiosum,Tenjikuzame,Orectolobiformes,Hemiscylliidae
Cryptocentrus strigilliceps,Hinomaruhaze,Gobiiformes,Gobiidae
Bathygobius fuscus,Kumohaze,Gobiiformes,Gobiidae
Stegostoma tigrinum,Torafuzame,Orectolobiformes,Stegostomatidae
Gunnellichthys curiosus,Nishikiomewarasubo,Gobiiformes,Gobiidae
Parioglossus interruptus,Himesatsukihaze,Gobiiformes,Gobiidae
Bryaninops loki,Hosogarasuhaze,Gobiiformes,Gobiidae
Amblygobius decussatus,Jumonjisarasahaze,Gobiiformes,Gobiidae
Priolepis akihitoi,Kokutembenkeihaze,Gobiiformes,Gobiidae
Cryptocentrus fasciatus,Murasamehaze,Gobiiformes,Gobiidae
Rhincodon typus,Jimbezame,Orectolobiformes,Rhincodontidae
Callogobius hastatus,Tsurugihaze,Gobiiformes,Gobiidae
Sueviota larsonae,Togeawaseisohaze,Gobiiformes,Gobiidae
Cirrhoscyllium expolitum,Higezame,Orectolobiformes,Parascylliidae
Heteroplopomus barbatus,Niramihaze,Gobiiformes,Gobiidae
Pleurosicya coerulea,Hiraumitakehaze,Gobiiformes,Gobiidae
Cirrhoscyllium japonicum,Kurakakezame,Orectolobiformes,Parascylliidae
Valenciennea limicola,Saotomehaze,Gobiiformes,Gobiidae
Orectolobus japonicus,Ose,Orectolobiformes,Orectolobidae
Paragobiodon modestus,Yogoredarumahaze,Gobiiformes,Gobiidae
Eviota nigramembrana,Kometsubuisohaze,Gobiiformes,Gobiidae
Salanx ariakensis,Ariakeshirauo,Osmeriformes,Salangidae
Tomiyamichthys lanceolatus,Yajirihaze,Gobiiformes,Gobiidae
Salangichthys microdon,Shirauo,Osmeriformes,Salangidae
Sueviota lachneri,Awaseisohaze,Gobiiformes,Gobiidae
Ptereleotris evides,Kuroyurihaze,Gobiiformes,Gobiidae
Neosalanx reganius,Ariakehimeshirauo,Osmeriformes,Salangidae
Priolepis nocturna,Izayoibenkeihaze,Gobiiformes,Gobiidae
Neosalangichthys ishikawae,Ishikawashirauo,Osmeriformes,Salangidae
Acentrogobius suluensis,Hohogurosujihaze,Gobiiformes,Gobiidae
Tomiyamichthys hyacinthinus,Hotarubionihaze,Gobiiformes,Gobiidae
Priolepis winterbottomi,Sakurairezumihaze,Gobiiformes,Gobiidae
Gobiodon prolixus,Awairokobanhaze,Gobiiformes,Gobiidae
Ptereleotris microlepis,Itomankuroyurihaze,Gobiiformes,Gobiidae
Eviota afelei,Shimamidorihaze,Gobiiformes,Gobiidae
Acentrogobius moloanus,Futasujinoborihaze,Gobiiformes,Gobiidae
Trimma panemorfum,Kosumosubenihaze,Gobiiformes,Gobiidae
Gobiodon axillaris,Seakakobanhaze,Gobiiformes,Gobiidae
Hypomesus nipponensis,Wakasagi,Osmeriformes,Osmeridae
Discordipinna filamentosa,Naginatahaze,Gobiiformes,Gobiidae
Spirinchus lanceolatus,Shishamo,Osmeriformes,Osmeridae
Favonigobius melanobranchus,Kurohimehaze,Gobiiformes,Gobiidae
